"session_id","age_raw","age_months","path","utts_CHI","m0_CHI","words_CHI","morphs_CHI","utts_MOT","m0_MOT","words_MOT","morphs_MOT","utts_FAT","m0_FAT","words_FAT","morphs_FAT"
65,"2;05.27",29.9,"Naima/020527.cha",303,0,1037,1153,428,0,2285,2644,0,0,0,0
66,"2;06.11",30.367,"Naima/020611.cha",370,0,1164,1249,614,0,4219,4739,0,0,0,0
67,"2;06.25",30.833,"Naima/020625.cha",369,0,1509,1744,435,0,2758,3197,0,0,0,0
68,"2;07.03",31.1,"Naima/020703.cha",378,0,1237,1365,601,1,4073,4496,0,0,0,0
69,"2;07.13",31.433,"Naima/020713.cha",505,0,1837,2144,780,0,4528,5245,0,0,0,0
70,"2;07.20",31.667,"Naima/020720.cha",276,0,924,1032,778,9,4373,5027,0,0,0,0
71,"2;07.27",31.9,"Naima/020727.cha",375,0,1319,1545,617,0,3653,4229,0,0,0,0
72,"2;08.11",32.367,"Naima/020811.cha",302,0,1075,1198,645,6,3375,3835,65,0,282,334
73,"2;08.19",32.633,"Naima/020819.cha",331,0,1166,1415,695,0,4201,4941,0,0,0,0
74,"2;09.17",33.567,"Naima/020917.cha",461,0,1985,2448,636,3,3335,3904,30,0,179,230
75,"2;09.23",33.767,"Naima/020923.cha",762,1,3285,3803,877,3,4593,5143,0,0,0,0
76,"2;10.01",34.033,"Naima/021001.cha",454,0,1856,2257,768,0,4451,5084,0,0,0,0
77,"2;10.08",34.267,"Naima/021008a.cha",252,0,1466,1824,416,0,2487,2878,0,0,0,0
78,"2;10.08",34.267,"Naima/021008b.cha",382,0,2164,2584,533,0,3215,3703,0,0,0,0
79,"2;10.18",34.6,"Naima/021018.cha",438,0,2412,2847,667,0,3976,4609,40,0,158,187
80,"2;10.27",34.9,"Naima/021027.cha",382,0,2852,3412,420,1,2916,3249,0,0,0,0
81,"2;11.14",35.467,"Naima/021114.cha",441,1,2474,2805,608,0,3800,4337,11,0,67,80
82,"2;11.23",35.767,"Naima/021123.cha",417,0,1989,2302,454,3,2622,2854,24,0,98,111
83,"3;",36.0,"Naima/030000.cha",469,0,1840,2110,461,0,2527,2937,45,0,198,238
84,"3;01.01",37.033,"Naima/030101.cha",468,1,1719,1905,694,5,3585,4127,29,0,112,124
85,"3;02.19",38.633,"Naima/030219.cha",469,0,2250,2564,754,1,3829,4449,0,0,0,0
86,"3;03.25",39.833,"Naima/030325.cha",412,0,1691,2024,500,0,2416,2821,5,0,28,35
87,"3;06.23",42.767,"Naima/030623.cha",426,0,2223,2605,731,0,4798,5509,25,0,112,134
88,"3;10.10",46.333,"Naima/031010.cha",683,2,3161,3841,708,2,3256,3787,213,0,1254,1458
