size,all_utterances,Manchester/Anne,Manchester/Aran,Manchester/Becky,Manchester/Carl,Manchester/Dominic,Manchester/Gail,Manchester/Joel,Manchester/John,Manchester/Liz,Manchester/Nicole,Manchester/Ruth,Manchester/Warren
1,17554,1996,721,2968,733,2396,1190,2664,815,216,2575,639,641
2,98878,8931,6414,10985,7489,10258,7350,8321,5849,6661,10307,11375,4938
3,49872,4531,3510,4783,6896,4997,3307,3982,3239,3692,3505,3833,3597
4,38529,3566,2932,3689,5392,3191,2930,2970,2643,2798,2095,2657,3666
5,23372,1954,2120,2519,3236,1843,2013,1809,1160,1672,1005,1518,2523
6,11857,1004,1344,1315,1457,845,970,954,445,875,521,798,1329
7,5169,375,640,628,629,411,410,382,162,421,171,337,603
8,2426,193,327,260,257,168,170,195,80,272,82,153,269
