size,all_utterances,Manchester/Anne,Manchester/Aran,Manchester/Becky,Manchester/Carl,Manchester/Dominic,Manchester/Gail,Manchester/Joel,Manchester/John,Manchester/Liz,Manchester/Nicole,Manchester/Ruth,Manchester/Warren
1,78880,7113,5536,9305,5491,8413,5849,6256,4000,5257,8082,9833,3745
2,47829,4528,3363,4667,5847,4569,3172,3938,3351,3592,3965,3779,3058
3,37659,3482,2803,3695,5067,3393,2687,2969,2883,2842,2302,2573,2963
4,27841,2342,2135,2755,3945,2288,2189,2337,1616,2018,1536,1874,2806
5,17796,1564,1521,1703,2397,1397,1584,1479,1004,1230,839,1222,1856
6,10652,806,983,1120,1424,811,936,869,420,719,499,758,1307
7,5434,417,529,558,714,455,453,440,183,440,250,367,628
8,2902,222,339,290,334,245,192,249,101,243,133,172,382
