size,all_utterances,Manchester/Anne,Manchester/Aran,Manchester/Becky,Manchester/Carl,Manchester/Dominic,Manchester/Gail,Manchester/Joel,Manchester/John,Manchester/Liz,Manchester/Nicole,Manchester/Ruth,Manchester/Warren
1,96975,8677,6270,10658,7364,10012,7148,8156,5799,6536,10117,11366,4872
2,40711,3544,2888,3652,5492,4368,2386,3042,2793,3071,3045,3510,2920
3,36731,3537,2777,3514,4799,3280,2754,2825,2351,2732,2299,2621,3242
4,26928,2344,2267,2922,3781,2030,2351,2075,1684,1890,1191,1651,2742
5,16282,1406,1614,1856,2335,1210,1399,1298,734,1166,644,928,1692
6,8107,665,915,953,1078,585,711,687,269,582,268,459,935
7,3791,305,489,503,405,271,333,358,89,338,106,174,420
8,1636,132,217,185,190,110,127,157,29,166,54,77,192
