size,all_utterances,Manchester/Anne,Manchester/Aran,Manchester/Becky,Manchester/Carl,Manchester/Dominic,Manchester/Gail,Manchester/Joel,Manchester/John,Manchester/Liz,Manchester/Nicole,Manchester/Ruth,Manchester/Warren
1,70412,6104,5032,8202,5028,7713,5454,5632,3583,4510,7074,8826,3254
2,46427,4490,3205,4752,5378,4445,3065,3843,3182,3597,4073,3359,3038
3,35127,3137,2649,3425,4545,3182,2397,2764,2612,2737,2273,2815,2591
4,30253,2778,2193,3021,4194,2527,2267,2520,1976,2168,1696,2157,2756
5,19927,1815,1629,1961,2721,1534,1636,1607,1117,1431,1053,1456,1967
6,13249,1082,1170,1327,1730,1038,1146,1039,593,928,656,981,1559
7,7368,578,698,754,932,532,630,618,312,520,409,539,846
8,4293,328,410,458,502,362,338,377,127,316,224,327,524
