size,all_utterances,Manchester/Anne,Manchester/Aran,Manchester/Becky,Manchester/Carl,Manchester/Dominic,Manchester/Gail,Manchester/Joel,Manchester/John,Manchester/Liz,Manchester/Nicole,Manchester/Ruth,Manchester/Warren
1,79308,7188,5546,9329,5561,8427,5884,6298,4065,5271,8140,9809,3790
2,47141,4407,3322,4603,5825,4497,3180,3916,3337,3535,3838,3668,3013
3,37789,3594,2781,3720,5045,3337,2701,2964,2810,2866,2325,2648,2998
4,27944,2317,2136,2708,3952,2351,2196,2334,1644,2040,1567,1895,2804
5,17686,1532,1533,1707,2362,1379,1543,1462,986,1224,833,1235,1890
6,10748,790,1003,1158,1448,872,911,867,437,720,503,769,1270
7,5426,442,524,555,681,439,453,448,181,446,255,380,622
8,2906,208,353,303,337,258,190,247,96,222,143,176,373
