utt_id,utt_id_role,speaker,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,context_k1,context_k2,context_k3
6068,6068,MOT,Liz,9,and now [/] now shall I have a go ?,and now now shall I have a go ?,8,7,8,9,8,8,8,Liz/020202.cha,2705,26.067,yeah .,ta . yeah .,thank_you . ta . yeah .
6069,6069,MOT,Liz,9,I'll put that one on there .,I'll put that one on there .,6,7,6,7,6,6,6,Liz/020202.cha,2711,26.067,and now now shall I have a go ?,yeah . and now now shall I have a go ?,ta . yeah . and now now shall I have a go ?
6070,6070,MOT,Liz,9,yeah .,yeah .,1,1,1,1,1,1,1,Liz/020202.cha,2718,26.067,I'll put that one on there .,and now now shall I have a go ? I'll put that one on there .,yeah . and now now shall I have a go ? I'll put that one on there .
6071,6071,MOT,Liz,9,oh: that looks great that .,oh that looks great that .,5,5,5,5,5,5,5,Liz/020202.cha,2724,26.067,yeah .,I'll put that one on there . yeah .,and now now shall I have a go ? I'll put that one on there . yeah .
6072,6072,MOT,Liz,9,you're putting the red one on ?,you're putting the red one on ?,6,7,7,8,7,7,6,Liz/020202.cha,2730,26.067,oh that looks great that .,yeah . oh that looks great that .,I'll put that one on there . yeah . oh that looks great that .
6073,6073,MOT,Liz,9,oh dear .,oh dear .,2,2,2,2,2,2,2,Liz/020202.cha,2736,26.067,you're putting the red one on ?,oh that looks great that . you're putting the red one on ?,yeah . oh that looks great that . you're putting the red one on ?
6074,6074,MOT,Liz,9,I think I might put a yellow one on top of that .,I think I might put a yellow one on top of that .,12,12,13,13,13,13,12,Liz/020202.cha,2739,26.067,oh dear .,you're putting the red one on ? oh dear .,oh that looks great that . you're putting the red one on ? oh dear .
6075,6075,MOT,Liz,9,is that okay ?,is that okay ?,3,3,4,4,5,4,3,Liz/020202.cha,2742,26.067,I think I might put a yellow one on top of that .,oh dear . I think I might put a yellow one on top of that .,you're putting the red one on ? oh dear . I think I might put a yellow one on top of that .
6076,6076,MOT,Liz,9,does that look all right ?,does that look all right ?,5,5,5,5,5,5,5,Liz/020202.cha,2745,26.067,is that okay ?,I think I might put a yellow one on top of that . is that okay ?,oh dear . I think I might put a yellow one on top of that . is that okay ?
6077,6077,MOT,Liz,9,the red one ?,the red one ?,3,3,3,3,3,3,3,Liz/020202.cha,2751,26.067,does that look all right ?,is that okay ? does that look all right ?,I think I might put a yellow one on top of that . is that okay ? does that look all right ?
