"utt_id","utt_id_role","speaker","child_id","session_id","utterance","utterance_clean","word_count","morph_count","utt_syllables_basic","utt_syllables_lenient","utt_syllables_strictY","utt_syllables_le","n_alpha_words","file","line_no"
22744,21564,"MOT","Violet",43,"did we miss , no we didn't , alright . 511517_512982","did we miss no we didn't alright.",7,12,8,8,8,8,7,"Violet/030119.cha",875
22745,21565,"MOT","Violet",43,"okay . 512982_513902","okay.",1,1,2,2,3,2,1,"Violet/030119.cha",878
22746,21566,"MOT","Violet",43,"clam .","clam.",1,1,1,1,1,1,1,"Violet/030119.cha",887
22747,21567,"MOT","Violet",43,"huh ? 520043_521598","huh?",1,1,1,1,1,1,1,"Violet/030119.cha",893
22748,21568,"MOT","Violet",43,"scallop . 523890_524808","scallop.",1,1,2,2,2,2,1,"Violet/030119.cha",900
22749,21569,"MOT","Violet",43,"yeah , it's called a what ?","yeah it's called a what?",5,8,6,6,6,6,5,"Violet/030119.cha",922
22750,21570,"MOT","Violet",43,"yeah , lift your arms up and I'll give her a hint .","yeah lift your arms up and I'll give her a hint.",11,13,11,12,11,11,11,"Violet/030119.cha",928
22751,21571,"MOT","Violet",43,"let me give you a hint . 540053_541253","let me give you a hint.",6,6,6,7,6,6,6,"Violet/030119.cha",931
22752,21572,"MOT","Violet",43,"what's this ? 541253_542827","what's this?",2,3,2,2,2,2,2,"Violet/030119.cha",934
22753,21573,"MOT","Violet",43,"what's this hard thing in Max's arm called ? 545857_548523","what's this hard thing in Max's arm called?",8,12,9,9,9,9,8,"Violet/030119.cha",940
22754,21574,"MOT","Violet",43,"when you're big and strong you have what ? 548523_550690","when you're big and strong you have what?",8,9,8,10,8,8,8,"Violet/030119.cha",943
22755,21575,"MOT","Violet",43,"right , that's a muscle , see .","right that's a muscle see.",5,8,5,6,5,6,5,"Violet/030119.cha",951
22756,21576,"MOT","Violet",43,"how (a)bout this one ?","how bout this one?",4,4,4,4,4,4,4,"Violet/030119.cha",957
22757,21577,"MOT","Violet",43,"with the pearl inside it , what do you call this one ?","with the pearl inside it what do you call this one?",11,12,12,13,12,12,11,"Violet/030119.cha",961
22758,21578,"MOT","Violet",43,"don't say it , Max .","don't say it Max.",4,6,4,4,4,4,4,"Violet/030119.cha",969
22759,21579,"MOT","Violet",43,"what do you xxx do you know what it is ? 569252_573133","what do you do you know what it is?",9,9,9,9,9,9,9,"Violet/030119.cha",975
22760,21580,"MOT","Violet",43,"oh , she's so smart ! 577282_580553","oh she's so smart!",4,6,4,4,4,4,4,"Violet/030119.cha",983
22761,21581,"MOT","Violet",43,"how did you know it ?","how did you know it?",5,6,5,5,5,5,5,"Violet/030119.cha",987
22762,21582,"MOT","Violet",43,"because you're a clever girl .","because you're a clever girl.",5,6,7,9,7,7,5,"Violet/030119.cha",995
22763,21583,"MOT","Violet",43,"how (a)bout these ?","how bout these?",3,3,3,4,3,3,3,"Violet/030119.cha",1003
22764,21584,"MOT","Violet",43,"hard little +... 592807_593875","hard little.",2,3,2,3,2,3,2,"Violet/030119.cha",1012
22765,21585,"MOT","Violet",43,"things . 593875_596322","things.",1,1,1,1,1,1,1,"Violet/030119.cha",1015
22766,21586,"MOT","Violet",43,"barnacles . 601672_604148","barnacles.",1,1,3,3,3,3,1,"Violet/030119.cha",1029
22767,21587,"MOT","Violet",43,"how (a)bout this guy ? 604148_607875","how bout this guy?",4,4,4,4,4,4,4,"Violet/030119.cha",1032
22768,21588,"MOT","Violet",43,"no the little guy here . 610097_611392","no the little guy here.",5,5,5,7,5,6,5,"Violet/030119.cha",1040
22769,21589,"MOT","Violet",43,"he's a shrimp . 615487_616392","he's a shrimp.",3,4,3,3,3,3,3,"Violet/030119.cha",1052
22770,21590,"MOT","Violet",43,"what kind of crab is this one ? 624718_626097","what kind of crab is this one?",7,7,7,7,7,7,7,"Violet/030119.cha",1071
22771,21591,"MOT","Violet",43,"hermit crab .","hermit crab.",2,2,3,3,3,3,2,"Violet/030119.cha",1086
22772,21592,"MOT","Violet",43,"what kind do you call him ?","what kind do you call him?",6,6,6,6,6,6,6,"Violet/030119.cha",1094
22773,21593,"MOT","Violet",43,"right . 641890_642570","right.",1,1,1,1,1,1,1,"Violet/030119.cha",1100
22774,21594,"MOT","Violet",43,"sea what ? 649463_653428","sea what?",2,2,2,2,2,2,2,"Violet/030119.cha",1111
22775,21595,"MOT","Violet",43,"ur(chin) .","ur.",1,1,1,1,1,1,1,"Violet/030119.cha",1119
22776,21596,"MOT","Violet",43,"urchin . 658432_661655","urchin.",1,1,2,2,2,2,1,"Violet/030119.cha",1122
22777,21597,"MOT","Violet",43,"sea +...","sea.",1,2,1,1,1,1,1,"Violet/030119.cha",1130
22778,21598,"MOT","Violet",43,"cucumber .","cucumber.",1,1,3,3,3,3,1,"Violet/030119.cha",1138
22779,21599,"MOT","Violet",43,"sand +... 668908_675670","sand.",1,2,1,1,1,1,1,"Violet/030119.cha",1142
22780,21600,"MOT","Violet",43,"dollar , sand dollar .","dollar sand dollar.",3,4,5,5,5,5,3,"Violet/030119.cha",1146
22781,21601,"MOT","Violet",43,"you wanna see the cucumber ?","you wanna see the cucumber?",5,6,8,8,8,8,5,"Violet/030119.cha",1152
22782,21602,"MOT","Violet",43,"whoops . 678568_679840","whoops.",1,1,1,1,1,1,1,"Violet/030119.cha",1155
22783,21603,"MOT","Violet",43,"ah . 679840_683825","ah.",1,1,1,1,1,1,1,"Violet/030119.cha",1158
22784,21604,"MOT","Violet",43,"yuck . 683825_684712","yuck.",1,1,1,1,1,1,1,"Violet/030119.cha",1161
22785,21605,"MOT","Violet",43,"do you put (th)em in salads ?","do you put em in salads?",6,6,7,7,7,7,6,"Violet/030119.cha",1167
22786,21606,"MOT","Violet",43,"pipe fish .","pipe fish.",2,2,2,3,2,2,2,"Violet/030119.cha",1176
22787,21607,"MOT","Violet",43,"pipe fish . 695090_696378","pipe fish.",2,2,2,3,2,2,2,"Violet/030119.cha",1185
22788,21608,"MOT","Violet",43,"sculpin fish .","sculpin fish.",2,2,3,3,3,3,2,"Violet/030119.cha",1204
22789,21609,"MOT","Violet",43,"eel , yeah . 715655_716625","eel yeah.",2,3,2,2,2,2,2,"Violet/030119.cha",1217
22790,21610,"MOT","Violet",43,"you wanna see the sculpin fish ?","you wanna see the sculpin fish?",6,7,8,8,8,8,6,"Violet/030119.cha",1226
22791,21611,"MOT","Violet",43,"seagulls .","seagulls.",1,1,2,2,2,2,1,"Violet/030119.cha",1240
22792,21612,"MOT","Violet",43,"don't tell her . 731015_733207","don't tell her.",3,4,3,3,3,3,3,"Violet/030119.cha",1248
22793,21613,"MOT","Violet",43,"do you know it ? 743247_747338","do you know it?",4,4,4,4,4,4,4,"Violet/030119.cha",1263
22794,21614,"MOT","Violet",43,"do you know it or not ?","do you know it or not?",6,6,6,6,6,6,6,"Violet/030119.cha",1269
22795,21615,"MOT","Violet",43,"tell us ! 753222_754240","tell us!",2,2,2,2,2,2,2,"Violet/030119.cha",1280
22796,21616,"MOT","Violet",43,"she doesn't know how to read . 756557_757817","she doesn't know how to read.",6,7,6,6,6,6,6,"Violet/030119.cha",1286
22797,21617,"MOT","Violet",43,"tell us the word .","tell us the word.",4,4,4,4,4,4,4,"Violet/030119.cha",1292
22798,21618,"MOT","Violet",43,"tell us what it is .","tell us what it is.",5,5,5,5,5,5,5,"Violet/030119.cha",1298
22799,21619,"MOT","Violet",43,"should we tell you ? 762862_764128","should we tell you?",4,4,4,4,4,4,4,"Violet/030119.cha",1301
22800,21620,"MOT","Violet",43,"it's a +...","it's a.",2,4,2,2,2,2,2,"Violet/030119.cha",1309
22801,21621,"MOT","Violet",43,"what is it ?","what is it?",3,3,3,3,3,3,3,"Violet/030119.cha",1330
22802,21622,"MOT","Violet",43,"do you know it Violet ?","do you know it Violet?",5,5,6,6,6,6,5,"Violet/030119.cha",1338
22803,21623,"MOT","Violet",43,"it's a tufted +... 777370_778882","it's a tufted.",3,6,4,4,4,5,3,"Violet/030119.cha",1346
