"utt_id","utt_id_role","speaker","child_id","session_id","utterance","utterance_clean","word_count","morph_count","utt_syllables_basic","utt_syllables_lenient","utt_syllables_strictY","utt_syllables_le","n_alpha_words","file","line_no"
26513,26496,"MOT","Ethan",38,"the sound of the toilet used to scare me . 1092613_1095646","the sound of the toilet used to scare me.",9,10,11,12,11,11,9,"Ethan/020515.cha",1190
26514,26497,"MOT","Ethan",38,"I flush the toilet , flush , flush , flush .","I flush the toilet flush flush flush.",7,10,8,8,8,8,7,"Ethan/020515.cha",1193
26515,26498,"MOT","Ethan",38,"yeah , it doesn't work , the battery ran out .","yeah it doesn't work the battery ran out.",8,12,10,10,10,10,8,"Ethan/020515.cha",1201
26516,26499,"MOT","Ethan",38,"the very , good boy , sweetie . 1102850_1105981","the very good boy sweetie.",5,7,6,7,6,6,5,"Ethan/020515.cha",1204
26517,26500,"MOT","Ethan",38,"now I'm not scared any more . 1105981_1108783","now I'm not scared any more.",6,7,7,8,7,7,6,"Ethan/020515.cha",1207
26518,26501,"MOT","Ethan",38,"I stand up to go pee_pee . 1108783_1110890","I stand up to go pee_pee.",7,6,7,7,7,7,7,"Ethan/020515.cha",1210
26519,26502,"MOT","Ethan",38,"I sit down to go poo_poo . 1110890_1112966","I sit down to go poo_poo.",7,6,7,7,7,7,7,"Ethan/020515.cha",1213
26520,26503,"MOT","Ethan",38,"when I'm done , (.) I wipe my bottom . 1112966_1116885","when I'm done I wipe my bottom.",7,9,8,10,8,8,7,"Ethan/020515.cha",1216
26521,26504,"MOT","Ethan",38,"I flush the toilet . 1116885_1119240","I flush the toilet.",4,4,5,5,5,5,4,"Ethan/020515.cha",1219
26522,26505,"MOT","Ethan",38,"flush , flush , flush . 1119240_1120500","flush flush flush.",3,5,3,3,3,3,3,"Ethan/020515.cha",1222
26523,26506,"MOT","Ethan",38,"good job .","good job.",2,2,2,2,2,2,2,"Ethan/020515.cha",1225
26524,26507,"MOT","Ethan",38,"I kno:w , it broke . 1124100_1126821","I kno:w it broke.",5,6,5,6,5,5,5,"Ethan/020515.cha",1233
26525,26508,"MOT","Ethan",38,"I don't think it's broken . 1126821_1128510","I don't think it's broken.",5,8,6,6,6,6,5,"Ethan/020515.cha",1236
26526,26509,"MOT","Ethan",38,"it just needs a +... 1128510_1130265","it just needs a.",4,5,4,4,4,4,4,"Ethan/020515.cha",1239
26527,26510,"MOT","Ethan",38,"new battery but I don't know how to do it . 1130265_1132635","new battery but I don't know how to do it.",10,11,12,12,12,12,10,"Ethan/020515.cha",1242
26528,26511,"MOT","Ethan",38,"&-uh I'm trying , I'm trying it still doesn't work . 1132635_1137278","uh I'm trying I'm trying it still doesn't work.",9,12,9,9,9,9,9,"Ethan/020515.cha",1245
26529,26512,"MOT","Ethan",38,"an(d) this is +... 1137278_1141160","an this is.",3,4,3,3,3,3,3,"Ethan/020515.cha",1248
26530,26513,"MOT","Ethan",38,"you get stars every time you do a good job on the potty , so we'll give you a +...","you get stars every time you do a good job on the potty so we'll give you a.",18,21,21,23,21,21,18,"Ethan/020515.cha",1251
26531,26514,"MOT","Ethan",38,"that says I used the potty , I flushed the toilet , I washed my hands , I'm a big boy .","that says I used the potty I flushed the toilet I washed my hands I'm a big boy.",18,25,23,23,23,23,18,"Ethan/020515.cha",1257
26532,26515,"MOT","Ethan",38,"you gonna get a star , because you used the potty today . 1151215_1156156","you gonna get a star because you used the potty today.",11,14,16,17,17,16,11,"Ethan/020515.cha",1261
26533,26516,"MOT","Ethan",38,"should I +...","should I.",2,3,2,2,2,2,2,"Ethan/020515.cha",1264
