utt_id,utt_id_role,speaker,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,context_k1,context_k2,context_k3
37766,37746,MOT,Ethan,50,what could it be ? 2842185_2843575,what could it be,4,4,4,4,4,4,4,Ethan/021101.cha,3790,35.033,you're the expert .,you tell me you're the expert .,boings up and down . you tell me you're the expert .
37767,37747,MOT,Ethan,50,does it start with a (.) t@l ?,does it start with a ?,5,6,5,5,5,5,5,Ethan/021101.cha,3798,35.033,what could it be,you're the expert . what could it be,you tell me you're the expert . what could it be
37768,37748,MOT,Ethan,50,yea:h [: yes] . 2848806_2850796,yea:h,2,1,2,2,2,2,2,Ethan/021101.cha,3805,35.033,does it start with a ?,what could it be does it start with a ?,you're the expert . what could it be does it start with a ?
37769,37749,MOT,Ethan,50,a jumping anima:l . 2853708_2856305,a jumping anima:l,4,4,7,7,7,7,4,Ethan/021101.cha,3813,35.033,yea:h,does it start with a ? yea:h,what could it be does it start with a ? yea:h
37770,37750,MOT,Ethan,50,"most tigers don't jump like that , but this is one special tiger . 2858970_2864181",most tigers don't jump like that but this is one special tiger,12,15,15,16,15,15,12,Ethan/021101.cha,3821,35.033,a jumping anima:l,yea:h a jumping anima:l,does it start with a ? yea:h a jumping anima:l
37771,37751,MOT,Ethan,50,he jumps on his tail . 2867041_2870301,he jumps on his tail,5,5,5,5,5,5,5,Ethan/021101.cha,3827,35.033,most tigers don't jump like that but this is one special tiger,a jumping anima:l most tigers don't jump like that but this is one special tiger,yea:h a jumping anima:l most tigers don't jump like that but this is one special tiger
37772,37752,MOT,Ethan,50,"it's like a pogo stick , huh ?",it's like a pogo stick huh ?,6,8,7,8,7,7,6,Ethan/021101.cha,3830,35.033,he jumps on his tail,most tigers don't jump like that but this is one special tiger he jumps on his tail,a jumping anima:l most tigers don't jump like that but this is one special tiger he jumps on his tail
37773,37753,MOT,Ethan,50,that's right .,that's right .,2,3,2,2,2,2,2,Ethan/021101.cha,3838,35.033,it's like a pogo stick huh ?,he jumps on his tail it's like a pogo stick huh ?,most tigers don't jump like that but this is one special tiger he jumps on his tail it's like a pogo stick huh ?
37774,37754,MOT,Ethan,50,what could it be ? 2878990_2880681,what could it be,4,4,4,4,4,4,4,Ethan/021101.cha,3842,35.033,that's right .,it's like a pogo stick huh ? that's right .,he jumps on his tail it's like a pogo stick huh ? that's right .
37775,37755,MOT,Ethan,50,is it a possum ? 2880683_2883253,is it a possum,4,4,5,5,5,5,4,Ethan/021101.cha,3845,35.033,what could it be,that's right . what could it be,it's like a pogo stick huh ? that's right . what could it be
37776,37756,MOT,Ethan,50,na:h .,na:h .,2,1,2,2,2,2,2,Ethan/021101.cha,3854,35.033,is it a possum,what could it be is it a possum,that's right . what could it be is it a possum
37777,37757,MOT,Ethan,50,is it a kangaroo ? 2884975_2888060,is it a kangaroo,4,4,6,6,6,6,4,Ethan/021101.cha,3857,35.033,na:h .,is it a possum na:h .,what could it be is it a possum na:h .
37778,37758,MOT,Ethan,50,yeah .,yeah .,1,1,1,1,1,1,1,Ethan/021101.cha,3865,35.033,is it a kangaroo,na:h . is it a kangaroo,is it a possum na:h . is it a kangaroo
37779,37759,MOT,Ethan,50,"but it's not a kangaroo , is it ? 2892065_2895515",but it's not a kangaroo is it,7,9,9,9,9,9,7,Ethan/021101.cha,3868,35.033,yeah .,is it a kangaroo yeah .,na:h . is it a kangaroo yeah .
37780,37760,MOT,Ethan,50,"no , they don't have +//. 2901458_2906545",no they don't have,4,7,4,5,5,4,4,Ethan/021101.cha,3876,35.033,but it's not a kangaroo is it,yeah . but it's not a kangaroo is it,is it a kangaroo yeah . but it's not a kangaroo is it
37781,37761,MOT,Ethan,50,they don't jump on their tails .,they don't jump on their tails .,6,7,6,6,7,6,6,Ethan/021101.cha,3879,35.033,no they don't have,but it's not a kangaroo is it no they don't have,yeah . but it's not a kangaroo is it no they don't have
37782,37762,MOT,Ethan,50,they jump with their big long legs .,they jump with their big long legs .,7,7,7,7,8,7,7,Ethan/021101.cha,3882,35.033,they don't jump on their tails .,no they don't have they don't jump on their tails .,but it's not a kangaroo is it no they don't have they don't jump on their tails .
37783,37763,MOT,Ethan,50,"mhm , boing , boing , boi:ng .",mhm boing boing boi:ng .,5,7,5,5,5,5,5,Ethan/021101.cha,3895,35.033,they jump with their big long legs .,they don't jump on their tails . they jump with their big long legs .,no they don't have they don't jump on their tails . they jump with their big long legs .
37784,37764,MOT,Ethan,50,"xxx , that would be a funny animal . 2923571_2926915",that would be a funny animal,6,7,9,9,9,9,6,Ethan/021101.cha,3903,35.033,mhm boing boing boi:ng .,they jump with their big long legs . mhm boing boing boi:ng .,they don't jump on their tails . they jump with their big long legs . mhm boing boing boi:ng .
37785,37765,MOT,Ethan,50,a jumping bean . 2926915_2930040,a jumping bean,3,4,4,4,4,4,3,Ethan/021101.cha,3907,35.033,that would be a funny animal,mhm boing boing boi:ng . that would be a funny animal,they jump with their big long legs . mhm boing boing boi:ng . that would be a funny animal
37786,37766,MOT,Ethan,50,you're my jumping bean .,you're my jumping bean .,4,6,5,6,5,5,4,Ethan/021101.cha,3910,35.033,a jumping bean,that would be a funny animal a jumping bean,mhm boing boing boi:ng . that would be a funny animal a jumping bean
37787,37767,MOT,Ethan,50,that's what I call you when you jump around . 2930040_2933061,that's what I call you when you jump around,9,10,10,10,10,10,9,Ethan/021101.cha,3913,35.033,you're my jumping bean .,a jumping bean you're my jumping bean .,that would be a funny animal a jumping bean you're my jumping bean .
37788,37768,MOT,Ethan,50,jump [/] jump [/] jump [/] jump jumping bea:n . 2933061_2935905,jump jump jump jump jumping bea:n,7,4,8,8,8,8,7,Ethan/021101.cha,3916,35.033,that's what I call you when you jump around,you're my jumping bean . that's what I call you when you jump around,a jumping bean you're my jumping bean . that's what I call you when you jump around
37789,37769,MOT,Ethan,50,boing .,boing .,1,2,1,1,1,1,1,Ethan/021101.cha,3929,35.033,jump jump jump jump jumping bea:n,that's what I call you when you jump around jump jump jump jump jumping bea:n,you're my jumping bean . that's what I call you when you jump around jump jump jump jump jumping bea:n
37790,37770,MOT,Ethan,50,let's see if we have any Kleenex for you . 2940185_2942790,let's see if we have any Kleenex for you,9,10,10,11,10,10,9,Ethan/021101.cha,3932,35.033,boing .,jump jump jump jump jumping bea:n boing .,that's what I call you when you jump around jump jump jump jump jumping bea:n boing .
37791,37771,MOT,Ethan,50,you're voice is so husky . 2946541_2949616,you're voice is so husky,5,6,6,8,6,6,5,Ethan/021101.cha,3940,35.033,let's see if we have any Kleenex for you,boing . let's see if we have any Kleenex for you,jump jump jump jump jumping bea:n boing . let's see if we have any Kleenex for you
37792,37772,MOT,Ethan,50,husky [/] husky husker@wp &~doo . 2949618_2952931,husky husky,2,2,4,4,4,4,2,Ethan/021101.cha,3943,35.033,you're voice is so husky,let's see if we have any Kleenex for you you're voice is so husky,boing . let's see if we have any Kleenex for you you're voice is so husky
37793,37773,MOT,Ethan,50,whiskey [/] whiskey whisker doo .,whiskey whiskey whisker doo .,4,3,7,7,9,7,4,Ethan/021101.cha,3946,35.033,husky husky,you're voice is so husky husky husky,let's see if we have any Kleenex for you you're voice is so husky husky husky
37794,37774,MOT,Ethan,50,I +/.,I .,1,2,1,1,1,1,1,Ethan/021101.cha,3949,35.033,whiskey whiskey whisker doo .,husky husky whiskey whiskey whisker doo .,you're voice is so husky husky husky whiskey whiskey whisker doo .
37795,37775,MOT,Ethan,50,&~u:m is it a (.) a frog ?,is it a a frog ?,5,5,5,5,5,5,5,Ethan/021101.cha,3957,35.033,I .,whiskey whiskey whisker doo . I .,husky husky whiskey whiskey whisker doo . I .
37796,37776,MOT,Ethan,50,frogs jump .,frogs jump .,2,2,2,2,2,2,2,Ethan/021101.cha,3962,35.033,is it a a frog ?,I . is it a a frog ?,whiskey whiskey whisker doo . I . is it a a frog ?
37797,37777,MOT,Ethan,50,"yeah , kangaroos jump , but is it a frog ?",yeah kangaroos jump but is it a frog ?,8,10,10,10,10,10,8,Ethan/021101.cha,3970,35.033,frogs jump .,is it a a frog ? frogs jump .,I . is it a a frog ? frogs jump .
37798,37778,MOT,Ethan,50,"xxx no , xxx .",no .,1,2,1,1,1,1,1,Ethan/021101.cha,3973,35.033,yeah kangaroos jump but is it a frog ?,frogs jump . yeah kangaroos jump but is it a frog ?,is it a a frog ? frogs jump . yeah kangaroos jump but is it a frog ?
37799,37779,MOT,Ethan,50,xxx the frog .,the frog .,2,2,2,2,2,2,2,Ethan/021101.cha,3982,35.033,no .,yeah kangaroos jump but is it a frog ? no .,frogs jump . yeah kangaroos jump but is it a frog ? no .
37800,37780,MOT,Ethan,50,"run and jump , run and jump . 2982445_2984876",run and jump run and jump,6,7,6,6,6,6,6,Ethan/021101.cha,3990,35.033,the frog .,no . the frog .,yeah kangaroos jump but is it a frog ? no . the frog .
37801,37781,MOT,Ethan,50,"xxx , spaghetti ?",spaghetti ?,1,2,3,3,3,3,1,Ethan/021101.cha,3996,35.033,run and jump run and jump,the frog . run and jump run and jump,no . the frog . run and jump run and jump
